formula     mp_id       data        prediction  
SiNi2       mp-1118     1           1           1
Mg2Hg       mp-30719    1           1           1
HoAlPd      mp-1102737  -1          1           1
PrAsSe      mp-1209547  -1          0           1
SrCdPt      mp-1102073  -1          0           1
SmTeAs      mp-1208842  -1          0           1
HfCrSi      mp-1102342  -1          0           1
BaH2        mp-23715    0           0           1
PbIBr       mp-571465   0           0           1
Ba2Pb       mp-21246    1           1           1
PrAlRh      mp-1209554  -1          1           1
FeMoP       mp-1102843  -1          1           1
ErPPd       mp-8919     1           1           1
LuAlPt      mp-1102691  -1          1           1
HfAs2       mp-29646    1           1           1
TbSnPt      mp-22238    0           0           1
PbO2        mp-1102359  -1          0           1
ScNiP       mp-10240    1           1           1
HfO2        mp-741      0           0           1
LiCuS       mp-753605   -1          0           1
ErSiRh      mp-22114    1           1           1
CaSbPt      mp-8487     0           0           1
HgF2        mp-1102332  -1          0           1
SbSBr       mp-22971    0           0           1
ScGePt      mp-1095253  0           0           1
HfNiGe      mp-1102702  -1          0           1
YSiIr       mp-1102268  -1          1           1
CaCdPt      mp-1103046  -1          0           1
PbO2        mp-1101843  -1          0           1
FeB2        mp-1101938  -1          1           1
HoSiRh      mp-20675    1           1           1
GeF2        mp-1095292  0           0           1
NbFeP       mp-1102980  -1          1           1
PbBrO       mp-1102225  -1          0           1
HoGeRu      mp-22041    0           0           1
SmGeRh      mp-1103463  -1          0           1
PrSnPd      mp-22645    0           0           1
NbNiAs      mp-1103243  -1          1           1
HoAsSe      mp-1103217  -1          0           1
ZrGePd      mp-1103608  -1          1           1
LaSnPd      mp-1095476  0           0           1
DySiIr      mp-20281    1           1           1
BaIBr       mp-1214491  -1          0           1
ZrGeIr      mp-1095472  0           1           1
KCuS        mp-28270    0           0           1
TmAsPd      mp-1095625  1           1           1
LuPPd       mp-1210791  -1          1           1
LiInN       mp-1245801  -1          0           1
HoSeF       mp-1095263  0           0           1
LiSnN       mp-1245978  -1          0           1
LaSbIr      mp-1211358  -1          0           1
TbNiSn      mp-22299    0           0           1
BaBrCl      mp-1012551  -1          0           1
LiRuN       mp-1029251  -1          0           1
